Timestamp,Latitude,Longitude,Posicao_X,Posicao_Y,Profundidade_Z_m,Angulacao_Roll_Graus,Temp_C,CO2_ppm,CO_ppm,Metano_ppm,Risco_Estrutural,Bateria_Robo_Perc,Vitima_Presente_GT,Tendencia_Temp_C,Risco_Previsto_Futuro,Custo_Rota,Vitima_Detectada,Vitima_Confianca_Perc,Score_Vitima,Score_Risco_Estrutural,Prioridade_Resgate,Comando_Logistico
1970-01-01 00:00:00,40.7128,-74.006,0,0,2.0,0.0,40.0,828,209,6,0,100.0,0,0.0,0,20,False,0.0,0.0,0,108,CONTINUAR EXPLORACAO
1970-01-01 00:00:01,40.7128,-74.006,1,0,2.0,0.3,43.5,819,209,4,0,99.8,0,3.5,0,20,False,0.0,0.0,0,174,CONTINUAR EXPLORACAO
1970-01-01 00:00:02,40.7128,-74.006,2,0,2.0,1.9,46.5,835,219,-6,0,99.6,0,3.0,0,23,False,0.0,0.0,0,134,CONTINUAR EXPLORACAO
1970-01-01 00:00:03,40.7128,-74.006,3,0,2.0,2.7,48.6,837,206,2,0,99.4,0,2.1,0,25,False,0.0,0.0,0,34,CONTINUAR EXPLORACAO
1970-01-01 00:00:04,40.7128,-74.006,4,0,2.0,0.9,49.7,839,216,-19,0,99.4,0,1.1,0,21,False,0.0,0.0,0,52,CONTINUAR EXPLORACAO
1970-01-01 00:00:05,40.7128,-74.006,5,0,2.0,3.0,50.4,854,211,5,0,99.1,0,0.7,0,26,False,0.0,0.0,0,110,CONTINUAR EXPLORACAO
1970-01-01 00:00:06,40.7128,-74.006,6,0,1.9,0.1,49.0,866,207,5,0,99.3,0,-1.4,0,19,False,0.0,0.0,0,174,CONTINUAR EXPLORACAO
1970-01-01 00:00:07,40.7128,-74.006,7,0,1.9,0.2,48.8,828,214,-21,0,99.1,0,-0.2,0,19,False,0.0,0.0,0,81,CONTINUAR EXPLORACAO
1970-01-01 00:00:08,40.7128,-74.006,8,0,1.9,0.7,45.9,881,211,-12,0,99.0,0,-2.9,0,20,False,0.0,0.0,0,17,CONTINUAR EXPLORACAO
1970-01-01 00:00:09,40.7128,-74.006,9,0,1.8,1.9,43.6,867,216,7,0,98.7,0,-2.3,0,21,False,0.0,0.0,0,87,CONTINUAR EXPLORACAO
1970-01-01 00:00:10,40.7128,-74.006,10,0,1.9,1.3,40.5,880,199,-6,0,98.7,0,-3.1,0,21,False,0.0,0.0,0,124,CONTINUAR EXPLORACAO
1970-01-01 00:00:11,40.7128,-74.006,11,0,1.8,1.6,36.1,918,206,-7,0,98.5,0,-4.4,0,21,False,0.0,0.0,0,73,CONTINUAR EXPLORACAO
1970-01-01 00:00:12,40.7128,-74.006,12,0,1.8,0.3,32.1,922,206,-22,0,98.5,0,-4.0,0,18,False,0.0,0.0,0,110,CONTINUAR EXPLORACAO
1970-01-01 00:00:13,40.7128,-74.006,13,0,1.7,0.0,28.0,907,208,5,0,98.4,0,-4.1,0,17,False,0.0,0.0,0,19,CONTINUAR EXPLORACAO
1970-01-01 00:00:14,40.7128,-74.006,14,0,1.7,0.3,25.2,970,211,2,0,98.3,0,-2.8,0,17,False,0.0,0.0,0,94,CONTINUAR EXPLORACAO
1970-01-01 00:00:15,40.7128,-74.006,15,0,1.7,0.0,25.1,981,203,4,0,98.2,0,-0.1,0,17,False,0.0,0.0,0,30,CONTINUAR EXPLORACAO
1970-01-01 00:00:16,40.7128,-74.006,16,0,1.7,0.6,25.3,1051,196,7,0,98.0,0,0.2,0,18,False,0.0,0.0,0,41,CONTINUAR EXPLORACAO
1970-01-01 00:00:17,40.7128,-74.006,17,0,1.6,1.2,25.4,1038,204,-8,0,97.8,0,0.1,0,18,False,0.0,0.0,0,22,CONTINUAR EXPLORACAO
1970-01-01 00:00:18,40.7128,-74.006,18,0,1.7,0.0,25.5,1082,197,7,0,97.8,0,0.1,0,17,False,0.1,0.2,0,38,CONTINUAR EXPLORACAO
1970-01-01 00:00:19,40.7128,-74.006,19,0,1.6,0.4,24.7,1110,205,2,0,97.7,0,-0.8,0,16,False,0.2,0.4,0,112,CONTINUAR EXPLORACAO
1970-01-01 00:00:20,40.7128,-74.006,20,0,1.5,2.4,26.5,1128,199,-7,0,97.4,0,1.8,0,19,False,0.5,1.0,0,38,CONTINUAR EXPLORACAO
1970-01-01 00:00:21,40.7128,-74.006,21,0,1.5,3.5,25.4,1176,197,11,0,97.1,0,-1.1,0,22,False,2.0,4.0,0,33,CONTINUAR EXPLORACAO
1970-01-01 00:00:22,40.7128,-74.006,22,0,1.5,5.0,25.5,1201,206,0,0,96.9,0,0.1,0,25,False,7.8,15.6,0,22,CONTINUAR EXPLORACAO
1970-01-01 00:00:23,40.7128,-74.006,23,0,1.5,5.8,24.2,1300,205,1,0,96.7,0,-1.3,0,26,True,81.7,163.4,0,144,INICIAR RESGATE (ALTA CONFIANÇA DA IA)
1970-01-01 00:00:24,40.7128,-74.006,24,0,1.5,4.5,24.8,1447,191,4,0,96.7,0,0.6,0,24,True,99.9,199.8,0,181,INICIAR RESGATE (ALTA CONFIANÇA DA IA)
1970-01-01 00:00:25,40.7128,-74.006,25,0,1.5,4.0,24.6,1589,198,6,0,96.6,1,-0.2,0,23,True,100.0,200.0,0,305,INICIAR RESGATE (ALTA CONFIANÇA DA IA)
1970-01-01 00:00:26,40.7128,-74.006,26,0,1.5,2.5,26.7,1596,206,0,0,96.6,1,2.1,0,20,True,100.0,200.0,0,189,INICIAR RESGATE (ALTA CONFIANÇA DA IA)
1970-01-01 00:00:27,40.7128,-74.006,27,0,1.6,4.1,24.7,1575,197,-6,0,96.4,1,-2.0,0,24,True,100.0,200.0,0,157,INICIAR RESGATE (ALTA CONFIANÇA DA IA)
1970-01-01 00:00:28,40.7128,-74.006,28,0,1.5,5.5,24.2,1377,201,-12,0,96.1,0,-0.5,0,26,True,99.1,198.2,0,204,INICIAR RESGATE (ALTA CONFIANÇA DA IA)
1970-01-01 00:00:29,40.7128,-74.006,29,0,1.5,4.7,25.0,1253,213,6,0,96.0,0,0.8,0,24,True,50.0,100.0,0,115,CONTINUAR EXPLORACAO
1970-01-01 00:00:30,40.7128,-74.006,30,0,1.5,6.8,25.7,1126,209,1,0,95.7,0,0.7,0,28,False,0.5,1.0,0,59,CONTINUAR EXPLORACAO
1970-01-01 00:00:31,40.7128,-74.006,31,0,1.5,7.2,24.6,1103,202,6,0,95.6,0,-1.1,0,29,False,0.1,0.2,0,32,CONTINUAR EXPLORACAO
1970-01-01 00:00:32,40.7128,-74.006,32,0,1.5,7.0,24.9,1016,198,-4,0,95.5,0,0.3,0,29,False,0.0,0.0,0,182,CONTINUAR EXPLORACAO
1970-01-01 00:00:33,40.7128,-74.006,33,0,1.5,7.6,26.0,982,201,11,0,95.3,0,1.1,0,30,False,0.0,0.0,0,78,CONTINUAR EXPLORACAO
1970-01-01 00:00:34,40.7128,-74.006,34,0,1.4,8.8,25.1,971,209,-14,0,95.0,0,-0.9,0,31,False,0.0,0.0,0,77,CONTINUAR EXPLORACAO
1970-01-01 00:00:35,40.7128,-74.006,35,0,1.4,6.5,25.2,938,204,11,0,95.2,0,0.1,0,27,False,0.0,0.0,0,94,CONTINUAR EXPLORACAO
1970-01-01 00:00:36,40.7128,-74.006,36,0,1.4,5.9,25.1,908,205,-12,0,95.1,0,-0.1,0,25,False,0.0,0.0,0,46,CONTINUAR EXPLORACAO
1970-01-01 00:00:37,40.7128,-74.006,37,0,1.4,4.1,24.3,896,207,3,0,95.2,0,-0.8,0,22,False,0.0,0.0,0,28,CONTINUAR EXPLORACAO
1970-01-01 00:00:38,40.7128,-74.006,38,0,1.4,2.6,24.7,882,191,0,0,95.2,0,0.4,0,19,False,0.0,0.0,0,153,CONTINUAR EXPLORACAO
1970-01-01 00:00:39,40.7128,-74.006,39,0,1.5,4.0,26.0,887,201,0,0,94.9,0,1.3,0,23,False,0.0,0.0,0,19,CONTINUAR EXPLORACAO
1970-01-01 00:00:40,40.7128,-74.006,40,0,1.4,5.6,25.1,885,187,11,0,94.6,0,-0.9,0,25,False,0.0,0.0,0,38,CONTINUAR EXPLORACAO
1970-01-01 00:00:41,40.7128,-74.006,41,0,1.4,6.1,24.7,856,191,0,0,94.5,0,-0.4,0,26,False,0.0,0.0,0,34,CONTINUAR EXPLORACAO
1970-01-01 00:00:42,40.7128,-74.006,42,0,1.5,7.4,24.7,860,205,0,0,94.2,0,0.0,0,29,False,0.0,0.0,0,164,CONTINUAR EXPLORACAO
1970-01-01 00:00:43,40.7128,-74.006,43,0,1.5,7.2,24.9,825,195,-6,0,94.1,0,0.2,0,29,False,0.0,0.0,0,130,CONTINUAR EXPLORACAO
