Timestamp,Latitude,Longitude,Posicao_X,Posicao_Y,Profundidade_Z_m,Angulacao_Roll_Graus,Temp_C,CO2_ppm,Risco_Estrutural,Bateria_Robo_Perc,Distancia_Percorrida_m,Vitima_Presente_GT,Tendencia_Temp_C,Risco_Previsto_Futuro,Custo_Rota,Vitima_Detectada,Score_Vitima,Score_Risco_Estrutural,Prioridade_Resgate,Comando_Logistico
1970-01-01 00:00:00,40.716196,-73.999821,0,0,6.1,6.4,12.1,631,0,90.0,0.0,0,0.0,0,74,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:01,40.713246,-73.997656,1,0,9.4,2.8,39.6,416,0,89.2,0.0,0,27.5,0,100,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:02,40.716673,-74.0108,2,0,5.5,12.3,42.9,408,0,88.4,1.1,0,3.3,0,80,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:03,40.721859,-74.014432,3,0,7.7,3.1,26.8,678,2,87.6,2.8,0,-16.1,2,183,False,0,100,20,CONTINUAR EXPLORACAO
1970-01-01 00:00:04,40.708775,-74.010074,4,0,4.7,19.7,26.4,682,2,86.8,5.3,0,-0.4,2,186,False,0,100,22,CONTINUAR EXPLORACAO
1970-01-01 00:00:05,40.713845,-73.998431,5,0,5.5,15.0,48.7,599,0,86.0,1.7,0,22.3,0,85,False,0,0,2,CONTINUAR EXPLORACAO
1970-01-01 00:00:06,40.722385,-73.998346,6,0,4.0,3.4,30.2,453,2,85.2,2.7,0,-18.5,2,147,False,0,100,19,CONTINUAR EXPLORACAO
1970-01-01 00:00:07,40.712147,-74.001128,7,0,6.5,3.7,38.8,562,0,84.4,2.9,0,8.6,0,72,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:08,40.703025,-74.003536,8,0,2.4,11.7,24.3,589,1,83.6,0.8,0,-14.5,1,97,False,0,50,10,CONTINUAR EXPLORACAO
1970-01-01 00:00:09,40.712318,-74.001614,9,0,1.7,12.9,26.7,594,0,82.8,10.6,0,2.4,0,43,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:10,40.706925,-74.000397,10,0,6.4,9.7,31.4,611,0,82.0,5.7,0,4.7,0,83,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:11,40.710846,-74.00833,11,0,0.1,24.0,40.8,658,0,81.2,3.9,0,9.4,0,49,False,0,0,3,CONTINUAR EXPLORACAO
1970-01-01 00:00:12,40.722792,-74.006927,12,0,5.2,7.3,39.9,488,4,80.4,5.8,0,-0.9,4,267,False,0,200,41,RETIRADA DE RISCO PREVISTO
1970-01-01 00:00:13,40.72101,-74.001877,13,0,3.9,1.9,44.7,486,0,79.6,6.8,0,4.8,0,43,False,0,0,0,CONTINUAR EXPLORACAO
1970-01-01 00:00:14,40.721555,-73.997568,14,0,8.6,9.8,24.9,645,1,78.8,4.6,0,-19.8,1,156,False,0,50,10,CONTINUAR EXPLORACAO
1970-01-01 00:00:15,40.714498,-74.012026,15,0,5.5,1.8,64.5,470,2,78.0,7.5,0,39.6,4,159,False,0,200,41,RETIRADA DE RISCO PREVISTO
1970-01-01 00:00:16,40.722476,-73.998514,16,0,9.1,11.2,33.7,609,0,77.2,5.5,0,-30.8,0,113,False,0,0,0,CONTINUAR EXPLORACAO
1970-01-01 00:00:17,40.711256,-74.001127,17,0,8.0,15.5,44.4,458,2,76.4,7.0,0,10.7,4,211,False,0,200,42,RETIRADA DE RISCO PREVISTO
1970-01-01 00:00:18,40.721872,-74.000655,18,0,2.4,19.2,42.8,687,0,75.6,10.2,0,-1.6,0,62,False,0,0,2,CONTINUAR EXPLORACAO
1970-01-01 00:00:19,40.715084,-74.006139,19,0,6.9,19.5,30.3,4409,2,74.8,8.5,1,-12.5,2,208,True,200,100,141,INICIAR RESGATE (ALTA PRIORIDADE)
1970-01-01 00:00:20,40.715027,-74.012215,20,0,11.0,8.9,38.4,612,4,74.0,10.7,0,8.1,4,328,False,0,200,41,RETIRADA DE RISCO PREVISTO
1970-01-01 00:00:21,40.716523,-74.004925,21,0,3.1,16.0,48.8,627,0,73.2,11.6,0,10.4,0,63,False,0,0,2,CONTINUAR EXPLORACAO
1970-01-01 00:00:22,40.714385,-74.00351,22,0,7.8,11.4,52.4,438,0,72.4,12.2,0,3.6,0,101,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:23,40.715489,-73.996401,23,0,7.7,2.4,23.0,411,0,71.6,12.6,0,-29.4,0,82,False,0,0,-1,CONTINUAR EXPLORACAO
1970-01-01 00:00:24,40.722699,-74.012136,24,0,0.4,1.2,40.0,691,0,70.8,11.9,0,17.0,0,6,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:25,40.714332,-74.009763,25,0,3.5,12.4,52.2,692,2,70.0,11.4,0,12.2,4,160,False,0,200,42,RETIRADA DE RISCO PREVISTO
1970-01-01 00:00:26,40.720913,-74.012074,26,0,9.2,7.6,66.0,622,2,69.2,14.7,0,13.8,4,207,False,0,200,41,RETIRADA DE RISCO PREVISTO
1970-01-01 00:00:27,40.705155,-74.005861,27,0,3.5,0.1,44.8,508,0,68.4,14.7,0,-21.2,0,35,False,0,0,-1,CONTINUAR EXPLORACAO
1970-01-01 00:00:28,40.717681,-74.011919,28,0,2.9,9.7,33.7,523,0,67.6,19.0,0,-11.1,0,48,False,0,0,0,CONTINUAR EXPLORACAO
1970-01-01 00:00:29,40.718666,-73.999179,29,0,5.9,9.2,51.5,3191,3,66.8,13.0,1,17.8,4,227,True,200,200,161,INICIAR RESGATE (ALTA PRIORIDADE)
1970-01-01 00:00:30,40.722323,-74.014256,30,0,4.9,24.5,36.0,437,0,66.0,14.2,0,-15.5,0,98,False,0,0,2,CONTINUAR EXPLORACAO
1970-01-01 00:00:31,40.704338,-74.007863,31,0,6.6,7.1,29.9,478,0,65.2,12.9,0,-6.1,0,80,False,0,0,0,CONTINUAR EXPLORACAO
1970-01-01 00:00:32,40.705874,-74.007917,32,0,3.4,8.2,47.8,425,0,64.4,14.4,0,17.9,0,50,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:33,40.713053,-74.006589,33,0,5.9,7.4,50.0,645,0,63.599999999999994,15.7,0,2.2,0,74,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:34,40.718563,-74.001076,34,0,6.4,8.2,41.9,613,0,62.8,14.8,0,-8.1,0,80,False,0,0,0,CONTINUAR EXPLORACAO
1970-01-01 00:00:35,40.703977,-74.005126,35,0,9.3,12.1,44.7,2718,2,62.0,17.1,1,2.8,2,217,True,200,100,141,INICIAR RESGATE (ALTA PRIORIDADE)
1970-01-01 00:00:36,40.720039,-74.005284,36,0,7.0,0.6,45.0,401,0,61.2,13.7,0,0.3,0,71,False,0,0,0,CONTINUAR EXPLORACAO
1970-01-01 00:00:37,40.721563,-74.010035,37,0,4.3,11.8,66.7,644,0,60.4,16.4,0,21.7,0,67,False,0,0,2,CONTINUAR EXPLORACAO
1970-01-01 00:00:38,40.721959,-74.000176,38,0,0.3,5.9,39.4,658,1,59.6,20.2,0,-27.3,1,65,False,0,50,9,CONTINUAR EXPLORACAO
1970-01-01 00:00:39,40.717634,-74.01404,39,0,6.3,0.4,52.5,523,0,58.8,20.9,0,13.1,0,64,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:40,40.713918,-74.008776,40,0,4.6,9.6,37.1,674,0,58.0,21.9,0,-15.4,0,65,False,0,0,0,CONTINUAR EXPLORACAO
1970-01-01 00:00:41,40.720354,-74.015262,41,0,5.2,18.4,42.4,456,0,57.2,19.3,0,5.3,0,89,False,0,0,2,CONTINUAR EXPLORACAO
1970-01-01 00:00:42,40.707105,-73.997596,42,0,8.1,15.9,63.7,479,0,56.4,21.5,0,21.3,0,113,False,0,0,2,CONTINUAR EXPLORACAO
1970-01-01 00:00:43,40.717948,-74.015627,43,0,5.8,18.7,34.9,491,0,55.6,22.4,0,-28.8,0,95,False,0,0,0,CONTINUAR EXPLORACAO
1970-01-01 00:00:44,40.708156,-74.004265,44,0,5.4,13.3,49.0,597,0,54.8,22.2,0,14.1,0,81,False,0,0,2,CONTINUAR EXPLORACAO
1970-01-01 00:00:45,40.703168,-73.999651,45,0,8.2,17.8,45.8,663,2,54.0,20.3,0,-3.2,2,218,False,0,100,22,CONTINUAR EXPLORACAO
1970-01-01 00:00:46,40.704274,-74.013105,46,0,6.2,8.1,57.9,453,0,53.199999999999996,21.3,0,12.1,0,78,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:47,40.713512,-74.002374,47,0,9.3,36.2,44.4,584,0,52.400000000000006,22.6,0,-13.5,0,165,False,0,0,3,CONTINUAR EXPLORACAO
1970-01-01 00:00:48,40.709892,-73.99732,48,0,9.7,22.6,49.9,457,0,51.6,22.5,0,5.5,0,142,False,0,0,3,CONTINUAR EXPLORACAO
1970-01-01 00:00:49,40.716211,-73.99982,49,0,4.5,5.9,32.7,480,3,50.8,28.9,0,-17.2,3,207,False,0,150,30,CONTINUAR EXPLORACAO
